Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
05:45:00,19.18,56.58,50.29,36.77,37.69,5.7,3,sbs_before,6/9/19,H,Down,Deanza
05:45:01,19.18,56.58,50.29,36.77,37.69,5.6,3,sbs_before,6/9/19,H,Down,Deanza
05:45:02,19.18,56.58,50.29,36.77,37.69,5.5,3,sbs_before,6/9/19,H,Down,Deanza
05:45:04,19.18,56.58,50.29,36.77,37.69,5.3,2.8,sbs_before,6/9/19,H,Down,Deanza
05:45:05,19.18,56.58,50.29,36.78,37.69,5.1,2.9,sbs_before,6/9/19,H,Down,Deanza
05:45:06,19.18,56.58,50.29,36.77,37.69,5,3.1,sbs_before,6/9/19,H,Down,Deanza
05:45:07,19.18,56.58,50.29,36.77,37.69,4.9,3.2,sbs_before,6/9/19,H,Down,Deanza
05:45:08,19.18,56.58,50.29,36.78,37.69,4.8,3.2,sbs_before,6/9/19,H,Down,Deanza
05:45:09,19.18,56.58,50.29,36.78,37.69,4.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:45:10,19.18,56.58,50.29,36.78,37.69,4.6,3.1,sbs_before,6/9/19,H,Down,Deanza
05:45:12,19.18,56.58,50.29,36.78,37.69,4.5,3.1,sbs_before,6/9/19,H,Down,Deanza
05:45:13,19.18,56.58,50.29,36.77,37.69,4.3,2.8,sbs_before,6/9/19,H,Down,Deanza
05:45:14,19.18,56.58,50.29,36.77,37.69,4.2,2.8,sbs_before,6/9/19,H,Down,Deanza
05:45:15,19.18,56.58,50.29,36.77,37.69,4.2,2.7,sbs_before,6/9/19,H,Down,Deanza
05:45:16,19.18,56.58,50.29,36.77,37.69,4,2.9,sbs_before,6/9/19,H,Down,Deanza
05:45:17,19.18,56.58,50.29,36.78,37.69,3.9,3,sbs_before,6/9/19,H,Down,Deanza
05:45:18,19.18,56.58,50.29,36.78,37.69,3.9,3.1,sbs_before,6/9/19,H,Down,Deanza
05:45:20,19.18,56.58,50.29,36.78,37.69,3.9,3.1,sbs_before,6/9/19,H,Down,Deanza
05:45:21,19.19,56.58,50.29,36.77,37.69,3.7,3.2,sbs_before,6/9/19,H,Down,Deanza
05:45:22,19.19,56.58,50.29,36.77,37.69,3.7,2.8,sbs_before,6/9/19,H,Down,Deanza
05:45:23,19.18,56.58,50.29,36.77,37.69,3.6,2.7,sbs_before,6/9/19,H,Down,Deanza
05:45:24,19.19,56.58,50.29,36.77,37.69,3.6,2.6,sbs_before,6/9/19,H,Down,Deanza
05:45:25,19.19,56.58,50.29,36.77,37.69,3.5,2.7,sbs_before,6/9/19,H,Down,Deanza
05:45:26,19.18,56.58,50.29,36.77,37.69,3.4,2.6,sbs_before,6/9/19,H,Down,Deanza
05:45:28,19.18,56.58,50.29,36.77,37.69,3.4,2.5,sbs_before,6/9/19,H,Down,Deanza
05:45:29,19.18,56.57,50.29,36.77,37.69,3.3,2.7,sbs_before,6/9/19,H,Down,Deanza
05:45:30,19.18,56.57,50.29,36.77,37.69,3.2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:45:31,19.18,56.57,50.29,36.77,37.68,3.2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:45:32,19.18,56.57,50.29,36.77,37.69,3.1,2.5,sbs_before,6/9/19,H,Down,Deanza
05:45:33,19.18,56.57,50.29,36.77,37.69,3.1,2.3,sbs_before,6/9/19,H,Down,Deanza
05:45:34,19.18,56.57,50.29,36.77,37.69,3.1,2.4,sbs_before,6/9/19,H,Down,Deanza
05:45:36,19.18,56.57,50.29,36.77,37.69,3,2.3,sbs_before,6/9/19,H,Down,Deanza
05:45:37,19.18,56.57,50.29,36.77,37.69,2.9,2.1,sbs_before,6/9/19,H,Down,Deanza
05:45:38,19.18,56.57,50.29,36.77,37.69,2.8,2.2,sbs_before,6/9/19,H,Down,Deanza
05:45:39,19.18,56.57,50.29,36.77,37.69,2.8,2.1,sbs_before,6/9/19,H,Down,Deanza
05:45:40,19.19,56.57,50.29,36.77,37.69,2.8,2.2,sbs_before,6/9/19,H,Down,Deanza
05:45:41,19.19,56.57,50.29,36.77,37.69,2.8,2.4,sbs_before,6/9/19,H,Down,Deanza
05:45:42,19.19,56.57,50.29,36.77,37.69,2.8,2.3,sbs_before,6/9/19,H,Down,Deanza
05:45:44,19.19,56.57,50.29,36.77,37.69,2.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:45:45,19.19,56.57,50.29,36.77,37.69,2.6,2.2,sbs_before,6/9/19,H,Down,Deanza
05:45:46,19.19,56.57,50.29,36.77,37.69,2.6,2.1,sbs_before,6/9/19,H,Down,Deanza
05:45:47,19.19,56.57,50.29,36.77,37.69,2.6,2.2,sbs_before,6/9/19,H,Down,Deanza
05:45:48,19.19,56.57,50.29,36.77,37.68,2.6,2.1,sbs_before,6/9/19,H,Down,Deanza
05:45:49,19.19,56.57,50.29,36.77,37.69,2.5,2.4,sbs_before,6/9/19,H,Down,Deanza
05:45:50,19.19,56.57,50.29,36.77,37.69,2.5,2.5,sbs_before,6/9/19,H,Down,Deanza
05:45:52,19.19,56.57,50.29,36.77,37.69,2.5,2.4,sbs_before,6/9/19,H,Down,Deanza
05:45:53,19.19,56.57,50.29,36.77,37.69,2.5,2.6,sbs_before,6/9/19,H,Down,Deanza
05:45:54,19.19,56.57,50.29,36.77,37.68,2.6,2.6,sbs_before,6/9/19,H,Down,Deanza
05:45:55,19.19,56.57,50.29,36.77,37.68,2.6,2.7,sbs_before,6/9/19,H,Down,Deanza
05:45:56,19.19,56.57,50.28,36.77,37.68,2.5,2.8,sbs_before,6/9/19,H,Down,Deanza
05:45:57,19.19,56.57,50.29,36.77,37.68,2.5,2.7,sbs_before,6/9/19,H,Down,Deanza
05:45:58,19.19,56.57,50.29,36.77,37.68,2.5,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:00,19.19,56.57,50.29,36.77,37.68,2.5,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:01,19.19,56.57,50.29,36.77,37.68,2.4,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:02,19.19,56.57,50.29,36.77,37.68,2.4,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:03,19.19,56.57,50.29,36.77,37.68,2.4,2.3,sbs_before,6/9/19,H,Down,Deanza
05:46:04,19.19,56.57,50.29,36.77,37.68,2.3,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:05,19.19,56.57,50.29,36.77,37.68,2.3,2.3,sbs_before,6/9/19,H,Down,Deanza
05:46:06,19.19,56.57,50.29,36.77,37.68,2.3,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:08,19.19,56.57,50.29,36.77,37.68,2.3,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:09,19.19,56.56,50.28,36.77,37.68,2.3,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:10,19.19,56.56,50.28,36.77,37.68,2.3,2.3,sbs_before,6/9/19,H,Down,Deanza
05:46:11,19.19,56.56,50.28,36.77,37.68,2.3,2.2,sbs_before,6/9/19,H,Down,Deanza
05:46:12,19.19,56.56,50.28,36.77,37.68,2.3,2.2,sbs_before,6/9/19,H,Down,Deanza
05:46:13,19.19,56.57,50.29,36.77,37.68,2.2,2.2,sbs_before,6/9/19,H,Down,Deanza
05:46:14,19.19,56.57,50.29,36.77,37.68,2.2,2.2,sbs_before,6/9/19,H,Down,Deanza
05:46:16,19.19,56.56,50.28,36.77,37.68,2.1,2.2,sbs_before,6/9/19,H,Down,Deanza
05:46:17,19.19,56.56,50.28,36.77,37.68,2.1,2.3,sbs_before,6/9/19,H,Down,Deanza
05:46:18,19.19,56.56,50.28,36.77,37.68,2.1,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:19,19.19,56.56,50.28,36.77,37.68,2.1,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:20,19.19,56.56,50.28,36.77,37.68,2.1,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:21,19.19,56.56,50.28,36.77,37.68,2.1,2.8,sbs_before,6/9/19,H,Down,Deanza
05:46:22,19.19,56.56,50.28,36.77,37.68,2.1,2.7,sbs_before,6/9/19,H,Down,Deanza
05:46:24,19.19,56.56,50.29,36.77,37.68,2.1,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:25,19.19,56.57,50.29,36.77,37.68,2.1,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:26,19.19,56.57,50.29,36.77,37.68,2.1,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:27,19.19,56.57,50.29,36.77,37.68,2.1,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:28,19.19,56.57,50.29,36.77,37.68,2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:29,19.19,56.57,50.29,36.77,37.68,2,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:30,19.19,56.57,50.29,36.77,37.68,2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:32,19.19,56.57,50.29,36.77,37.69,2,2.4,sbs_before,6/9/19,H,Down,Deanza
05:46:33,19.19,56.57,50.29,36.77,37.69,2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:34,19.19,56.57,50.29,36.77,37.68,2,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:35,19.19,56.57,50.29,36.77,37.68,2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:36,19.19,56.57,50.29,36.77,37.69,2,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:37,19.19,56.57,50.29,36.77,37.69,2,2.7,sbs_before,6/9/19,H,Down,Deanza
05:46:38,19.19,56.57,50.3,36.77,37.69,2,2.8,sbs_before,6/9/19,H,Down,Deanza
05:46:40,19.19,56.57,50.3,36.77,37.69,2,2.7,sbs_before,6/9/19,H,Down,Deanza
05:46:41,19.19,56.57,50.3,36.77,37.69,1.9,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:42,19.19,56.57,50.3,36.77,37.69,1.9,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:43,19.19,56.57,50.3,36.77,37.69,1.9,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:44,19.19,56.57,50.3,36.77,37.69,1.9,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:45,19.19,56.58,50.3,36.77,37.69,1.9,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:46,19.19,56.58,50.3,36.78,37.69,1.9,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:48,19.19,56.58,50.3,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:49,19.19,56.58,50.31,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:46:50,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:46:51,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:46:52,19.2,56.58,50.31,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:46:53,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:46:54,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:46:56,19.2,56.58,50.31,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:46:57,19.2,56.58,50.31,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:46:58,19.2,56.58,50.31,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:46:59,19.2,56.58,50.31,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:47:00,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:47:01,19.2,56.58,50.31,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:47:02,19.2,56.58,50.31,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:47:04,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:47:05,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:47:06,19.2,56.58,50.31,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:47:07,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:47:08,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:47:09,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:47:10,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:47:12,19.2,56.58,50.31,36.77,37.69,1.8,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:13,19.2,56.57,50.3,36.77,37.69,1.7,3.3,sbs_before,6/9/19,H,Down,Deanza
05:47:14,19.2,56.57,50.3,36.77,37.69,1.7,3.2,sbs_before,6/9/19,H,Down,Deanza
05:47:15,19.2,56.57,50.3,36.77,37.69,1.7,3.3,sbs_before,6/9/19,H,Down,Deanza
05:47:16,19.2,56.57,50.3,36.77,37.68,1.7,3.2,sbs_before,6/9/19,H,Down,Deanza
05:47:17,19.2,56.57,50.3,36.77,37.68,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:18,19.2,56.57,50.3,36.77,37.68,1.7,3.2,sbs_before,6/9/19,H,Down,Deanza
05:47:20,19.2,56.57,50.3,36.77,37.69,1.7,3.2,sbs_before,6/9/19,H,Down,Deanza
05:47:21,19.19,56.57,50.3,36.77,37.69,1.7,3.2,sbs_before,6/9/19,H,Down,Deanza
05:47:22,19.19,56.57,50.3,36.77,37.69,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:23,19.2,56.57,50.3,36.77,37.69,1.7,3,sbs_before,6/9/19,H,Down,Deanza
05:47:24,19.2,56.57,50.3,36.77,37.69,1.7,3,sbs_before,6/9/19,H,Down,Deanza
05:47:25,19.2,56.58,50.3,36.77,37.69,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:26,19.2,56.58,50.3,36.77,37.69,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:28,19.2,56.58,50.31,36.78,37.69,1.7,2.9,sbs_before,6/9/19,H,Down,Deanza
05:47:29,19.2,56.58,50.31,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:47:30,19.2,56.58,50.31,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:47:31,19.2,56.58,50.31,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:47:32,19.2,56.58,50.31,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:47:33,19.2,56.58,50.31,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:47:34,19.2,56.58,50.31,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:47:36,19.2,56.58,50.31,36.78,37.69,1.7,3,sbs_before,6/9/19,H,Down,Deanza
05:47:37,19.2,56.58,50.31,36.78,37.69,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:38,19.2,56.58,50.31,36.78,37.69,1.7,2.9,sbs_before,6/9/19,H,Down,Deanza
05:47:39,19.2,56.58,50.31,36.78,37.69,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:47:40,19.2,56.58,50.31,36.78,37.69,1.7,2.8,sbs_before,6/9/19,H,Down,Deanza
05:47:41,19.2,56.58,50.31,36.78,37.69,1.7,2.8,sbs_before,6/9/19,H,Down,Deanza
05:47:42,19.2,56.58,50.31,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:47:44,19.2,56.58,50.31,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:47:45,19.2,56.58,50.31,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:47:46,19.2,56.58,50.31,36.78,37.69,1.7,2.4,sbs_before,6/9/19,H,Down,Deanza
05:47:47,19.2,56.58,50.31,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:47:48,19.2,56.58,50.31,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:47:49,19.2,56.58,50.31,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:47:50,19.2,56.58,50.31,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:47:52,19.2,56.58,50.31,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:47:53,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:47:54,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:47:55,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:47:56,19.2,56.58,50.31,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:47:57,19.2,56.58,50.31,36.78,37.69,1.8,3.2,sbs_before,6/9/19,H,Down,Deanza
05:47:58,19.2,56.58,50.31,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:48:00,19.2,56.58,50.31,36.78,37.69,1.7,3.1,sbs_before,6/9/19,H,Down,Deanza
05:48:01,19.2,56.58,50.31,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:48:02,19.2,56.58,50.31,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:48:03,19.2,56.58,50.31,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:48:04,19.2,56.58,50.31,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:05,19.2,56.58,50.31,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:06,19.2,56.58,50.31,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:08,19.2,56.58,50.31,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:09,19.2,56.58,50.31,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:10,19.2,56.58,50.31,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:11,19.2,56.58,50.31,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:12,19.2,56.58,50.31,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:13,19.2,56.58,50.31,36.78,37.69,1.7,2.9,sbs_before,6/9/19,H,Down,Deanza
05:48:14,19.2,56.58,50.31,36.78,37.69,1.7,2.9,sbs_before,6/9/19,H,Down,Deanza
05:48:16,19.2,56.58,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:17,19.2,56.58,50.32,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:18,19.2,56.58,50.32,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:19,19.2,56.58,50.32,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:20,19.2,56.58,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:21,19.2,56.58,50.32,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:22,19.2,56.58,50.32,36.78,37.69,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:24,19.2,56.58,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:25,19.2,56.58,50.32,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:48:26,19.2,56.58,50.32,36.78,37.69,1.8,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:27,19.2,56.59,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:28,19.2,56.59,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:48:29,19.2,56.59,50.32,36.78,37.69,1.8,3,sbs_before,6/9/19,H,Down,Deanza
05:48:30,19.2,56.58,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:48:32,19.2,56.58,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:48:33,19.2,56.59,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:34,19.2,56.58,50.32,36.78,37.69,1.8,2.4,sbs_before,6/9/19,H,Down,Deanza
05:48:35,19.2,56.58,50.32,36.78,37.69,1.8,2.4,sbs_before,6/9/19,H,Down,Deanza
05:48:36,19.2,56.58,50.32,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:37,19.2,56.59,50.32,36.78,37.69,1.7,2.4,sbs_before,6/9/19,H,Down,Deanza
05:48:38,19.2,56.59,50.32,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:48:40,19.2,56.59,50.32,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:41,19.2,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:42,19.2,56.59,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:43,19.2,56.59,50.32,36.78,37.69,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:44,19.2,56.59,50.32,36.78,37.7,1.7,2.7,sbs_before,6/9/19,H,Down,Deanza
05:48:45,19.2,56.59,50.32,36.78,37.7,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:46,19.2,56.59,50.32,36.78,37.7,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:48,19.2,56.59,50.32,36.78,37.7,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:49,19.2,56.59,50.32,36.78,37.7,1.7,2.6,sbs_before,6/9/19,H,Down,Deanza
05:48:50,19.21,56.59,50.32,36.78,37.69,1.7,2.3,sbs_before,6/9/19,H,Down,Deanza
05:48:51,19.21,56.59,50.32,36.78,37.69,1.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:48:52,19.21,56.59,50.32,36.78,37.69,1.7,2.1,sbs_before,6/9/19,H,Down,Deanza
05:48:53,19.21,56.59,50.32,36.78,37.69,1.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:48:54,19.21,56.59,50.32,36.78,37.69,1.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:48:56,19.21,56.59,50.32,36.78,37.7,1.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:48:57,19.21,56.59,50.32,36.78,37.7,1.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:48:58,19.21,56.58,50.32,36.78,37.69,1.7,2,sbs_before,6/9/19,H,Down,Deanza
05:48:59,19.21,56.58,50.32,36.78,37.69,1.7,2,sbs_before,6/9/19,H,Down,Deanza
05:49:00,19.21,56.58,50.32,36.78,37.69,1.7,2.2,sbs_before,6/9/19,H,Down,Deanza
05:49:01,19.21,56.58,50.32,36.78,37.69,1.7,2,sbs_before,6/9/19,H,Down,Deanza
05:49:02,19.21,56.58,50.32,36.78,37.69,1.7,2,sbs_before,6/9/19,H,Down,Deanza
05:49:04,19.21,56.58,50.32,36.78,37.69,1.8,2.2,sbs_before,6/9/19,H,Down,Deanza
05:49:05,19.21,56.58,50.32,36.78,37.69,1.7,2.4,sbs_before,6/9/19,H,Down,Deanza
05:49:06,19.21,56.59,50.32,36.78,37.69,1.7,2.5,sbs_before,6/9/19,H,Down,Deanza
05:49:07,19.21,56.59,50.32,36.78,37.69,1.7,2.4,sbs_before,6/9/19,H,Down,Deanza
05:49:08,19.21,56.59,50.32,36.78,37.69,1.8,2.4,sbs_before,6/9/19,H,Down,Deanza
05:49:09,19.21,56.59,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:49:10,19.21,56.59,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:12,19.21,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:13,19.21,56.59,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:14,19.2,56.59,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:15,19.21,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:16,19.21,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:17,19.2,56.59,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:49:18,19.2,56.59,50.32,36.78,37.69,1.8,2.9,sbs_before,6/9/19,H,Down,Deanza
05:49:20,19.2,56.58,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:49:21,19.2,56.58,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:49:22,19.2,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:23,19.2,56.58,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:49:24,19.2,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:25,19.2,56.58,50.32,36.78,37.69,1.8,2.8,sbs_before,6/9/19,H,Down,Deanza
05:49:26,19.2,56.58,50.32,36.78,37.69,1.8,2.7,sbs_before,6/9/19,H,Down,Deanza
05:49:28,19.2,56.58,50.32,36.78,37.69,1.8,2.6,sbs_before,6/9/19,H,Down,Deanza
05:49:29,19.2,56.58,50.32,36.78,37.69,1.8,2.2,sbs_before,6/9/19,H,Down,Deanza
05:49:30,19.21,56.58,50.32,36.78,37.69,1.8,1.9,sbs_before,6/9/19,H,Down,Deanza
05:49:31,19.2,56.58,50.32,36.78,37.69,1.8,2,sbs_before,6/9/19,H,Down,Deanza
05:49:32,19.2,56.58,50.32,36.78,37.69,1.8,1.9,sbs_before,6/9/19,H,Down,Deanza
05:49:33,19.2,56.58,50.32,36.78,37.69,1.8,1.9,sbs_before,6/9/19,H,Down,Deanza
05:49:34,19.2,56.58,50.32,36.78,37.69,1.8,1.9,sbs_before,6/9/19,H,Down,Deanza
05:49:36,19.2,56.58,50.32,36.78,37.69,1.8,2,sbs_before,6/9/19,H,Down,Deanza
05:49:37,19.2,56.58,50.32,36.78,37.69,1.8,2,sbs_before,6/9/19,H,Down,Deanza
05:49:38,19.2,56.58,50.32,36.78,37.69,1.8,1.9,sbs_before,6/9/19,H,Down,Deanza
05:49:39,19.2,56.58,50.32,36.78,37.69,1.8,1.9,sbs_before,6/9/19,H,Down,Deanza
05:49:40,19.2,56.58,50.31,36.78,37.69,1.8,2,sbs_before,6/9/19,H,Down,Deanza
05:49:41,19.2,56.58,50.31,36.78,37.69,1.8,2.1,sbs_before,6/9/19,H,Down,Deanza
05:49:42,19.2,56.58,50.31,36.78,37.69,1.8,2,sbs_before,6/9/19,H,Down,Deanza
05:49:44,19.2,56.58,50.31,36.78,37.69,1.8,1.8,sbs_before,6/9/19,H,Down,Deanza
