Site,Treatment,excavation_date,excavation_sample,species,Individual_ID,length_mm,width_mm,total_wet_weight_g,tissue_dry_weight_g,shell_dry_weight_g,Notes
Deanza,O,5/17/18,Q1,Adula ,1,19,9.4,0.5017,0.0282,0.2359,"Check this after, one has wax"
Deanza,O,5/17/18,Q1,Adula,2,21.2,10.2,0.5803,0.033,0.2308,
Deanza,O,5/17/18,Q1,Musculista,3,18.3,9.5,0.3801,0.0294,0.1293,
Deanza,O,5/17/18,Q1,Musculista,4,19,10.2,0.47742,0.03833,0.19352,
Deanza,O,5/17/18,Q1,Musculista,5,20.6,10.5,0.5568,0.04761,0.184,
Deanza,O,5/17/18,Q1,Musculista,6,11.6,9,0.3589,0.0261,0.1236,
Deanza,O,5/17/18,Q1,Musculista,7,12.5,6.8,0.14146,0.00509,0.05787,
Deanza,O,5/17/18,Q1,Musculista,8,10.1,5.8,0.06441,0.00145,0.03055,
Deanza,O,5/17/18,Q1,Musculista,9,12.3,7,0.1148,-0.0065,0.0525,
Deanza,O,5/17/18,Q1,Musculista,10,8.8,7.5,0.1641,0.00988,0.07562,
Deanza,O,5/17/18,Q1,Musculista,11,12.2,6.5,0.1362,0.0091,0.05522,
Deanza,O,5/17/18,Q1,Musculista,12,13,7.4,0.14447,0.01891,0.07679,Tissue fell out of tin and into wax
Deanza,O,5/17/18,Q1,Musculista,13,9.1,7.6,0.1805,0.0092,0.0802,
Deanza,O,5/17/18,Q1,Musculista,14,17.4,8.8,0.3138,0.0106,0.1433,Shell and tissue were in switched tins for dry weight
Deanza,O,5/17/18,Q1,Musculista,15,15.1,8.3,0.24707,0.01748,0.09209,
Deanza,O,5/17/18,Q1,Musculista,16,11.7,6.6,0.13612,0.00596,0.05952,
Deanza,O,5/17/18,Q1,Musculista,17,18.9,9.3,0.3334,0.028,0.120857,
Deanza,O,5/17/18,Q1,Mytilus,18,31.1,18.1,1.7071,0.06195,1.1396,
Deanza,O,5/17/18,Q1,Mytilus,19,29.4,15.2,1.11144,0.03652,0.80855,
Deanza,O,5/17/18,Q1,Crucibulum spinosum,1,16.4,12.8,0.2443,0.0151,0.1242,
Deanza,O,5/17/18,Q1,O. lurida,2,36.6,44.1,5.2293,0.1842,3.7225,
Deanza,O,5/17/18,Q1,O. lurida,3,35.4,24.1,3.1806,0.1318,2.2694,
Deanza,O,5/17/18,Q1,O. lurida,4,26.7,12.5,0.6714,0.0253,0.4709,
Deanza,O,5/17/18,Q1,O. lurida,5,39.3,35.9,4.7274,0.1427,3.1434,
Deanza,O,5/17/18,Q1,O. lurida,6,52.4,30.8,6.0071,0.2821,4.4828,
Deanza,O,5/17/18,Q2,Mytilus,7,35.3,20.5,2.4142,0.1031,1.5565,
Deanza,O,5/17/18,Q2,Mytilus,8,38.6,23.5,3.17,0.1645,2.2811,
Deanza,O,5/17/18,Q2,Mytilus,9,13,11.5,0.331,0.0099,0.2638,
Deanza,O,5/17/18,Q2,Mytilus,10,9.7,10.9,0.2289,0.0082,0.1508,
Deanza,O,5/17/18,Q2,Mytilus,11,15.6,9.5,0.1698,0.0061,0.1268,
Deanza,O,5/17/18,Q2,C. spinosum,12,13.5,12.3,0.2843,0.0217,0.1775,
Deanza,O,5/17/18,Q2,C. spinosum,13,16.1,12.9,0.3449,0.017,0.1695,
Deanza,O,5/17/18,Q2,C. spinosum,14,14.6,12.6,0.3072,-0.2892,0.1462,
Deanza,O,5/17/18,Q2,C. spinosum,15,15.8,12.9,0.3443,0.0248,0.1657,
Deanza,O,5/17/18,Q2,C. spinosum,16,13.1,12,0.2332,0.0137,0.1326,
Deanza,O,5/17/18,Q2,C. spinosum,17,14.6,12.2,0.2996,0.0223,0.1543,
Deanza,O,5/17/18,Q2,C. spinosum,18,10.9,9.2,0.1075,0.0123,0.0673,
Deanza,O,5/17/18,Q2,C. spinosum,19,15.8,13.1,0.3969,0.0212,0.2092,
Deanza,O,5/17/18,Q2,C. spinosum,20,10.6,10,0.0794,0.0055,0.051,
Deanza,O,5/17/18,Q2,C. spinosum,21,10,7.8,0.0857,0.005,0.051,
Deanza,O,5/17/18,Q2,C. spinosum,22,11.4,10,0.1564,0.0102,0.0938,
Deanza,O,5/17/18,Q2,C. spinosum,23,10.5,8.5,0.1399,0.009,0.0884,
Deanza,O,5/17/18,Q2,C. spinosum,24,7.2,7,0.0479,0.0031,0.0388,
Deanza,O,5/17/18,Q2,C. spinosum,25,9.3,8.9,0.0485,0.0035,0.0346,
Deanza,O,5/17/18,Q2,C. spinosum,26,11,9.4,0.0845,0.0069,0.0609,
Deanza,O,5/17/18,Q2,C. spinosum,27,8.4,7.2,0.0469,0.0038,0.0335,
Deanza,O,5/17/18,Q2,C. spinosum,28,9.8,7.5,0.0423,0.0029,0.0341,Top of shell was cracked
Deanza,O,5/17/18,Q2,Musculista,1,19.4,10.1,0.3648,0.0281,0.1788,
Deanza,O,5/17/18,Q2,Musculista,2,18,9.4,0.2556,0.014,0.1493,
Deanza,O,5/17/18,Q2,Musculista,3,17.1,9.3,0.2539,0.0134,0.1449,
Deanza,O,5/17/18,Q2,Musculista,4,18.1,8.9,0.2933,0.0225,0.1324,
Deanza,O,5/17/18,Q2,Musculista,5,18.8,9.7,0.312,0.0134,0.2002,
Deanza,O,5/17/18,Q2,Musculista,6,19.5,9.5,0.4547,0.0382,0.1879,
Deanza,O,5/17/18,Q2,Musculista,7,16.5,9.9,-0.6731,0.0287,0.1695,
Deanza,O,5/17/18,Q2,Musculista,8,18.3,9.4,-0.653,0.0302,0.1606,
Deanza,O,5/17/18,Q2,Musculista,9,15.5,7.9,0.2098,0.0195,0.1058,
Deanza,O,5/17/18,Q2,Musculista,10,18,9.5,0.4304,0.0308,0.1758,
Deanza,O,5/17/18,Q2,Musculista,11,17.5,9.5,0.3632,0.032,0.182,
Deanza,O,5/17/18,Q2,Musculista,12,14.2,8,0.1408,0.0066,0.0908,
Deanza,O,5/17/18,Q2,Musculista,13,15.2,8.1,0.2268,0.0265,0.0978,
Deanza,O,5/17/18,Q2,Musculista,14,14.6,8.5,-0.7585,0.0201,0.1271,
Deanza,O,5/17/18,Q2,Musculista,15,15.2,8.9,0.2189,0.017,0.1029,
Deanza,O,5/17/18,Q2,Musculista,16,16.1,9.4,0.2379,0.0095,0.147,
Deanza,O,5/17/18,Q2,Musculista,17,14.4,8.3,0.1989,0.0166,0.0841,
Deanza,O,5/17/18,Q2,Musculista,18,13.6,7.9,0.1565,0.0116,0.0708,
Deanza,O,5/17/18,Q2,Musculista,19,15.2,10.5,0.1631,0.0102,0.1085,
Deanza,O,5/17/18,Q2,Musculista,20,14.1,12.7,0.1659,0.014,0.0865,
Deanza,O,5/17/18,Q2,Unknown mussel,1,19.1,10.8,0.2189,-0.1617,-0.086,
Deanza,O,5/17/18,Q2,Unknown mussel,2,22.2,10.3,-0.6934,-0.4233,0.2713,
Deanza,O,5/17/18,Q2,Unknown mussel,3,16.1,8.3,-0.0038,-0.185,0.1143,
Deanza,O,5/17/18,Q2,Unknown mussel,4,19.8,9.9,0.2489,0.013,0.1668,
Deanza,O,5/17/18,Q2,Unknown mussel,5,20.9,10.2,0.4573,0.0188,0.2457,
Deanza,O,5/17/18,Q2,Unknown mussel,6,21.5,10.1,0.4468,0.0263,0.2646,
Deanza,O,5/17/18,Q2,Unknown mussel,7,25.7,11.9,0.7708,0.0701,0.3491,
Deanza,O,5/17/18,Q2,Unknown mussel,8,19.3,9.7,0.3884,0.026,0.1937,
Deanza,O,5/17/18,Q2,Unknown mussel,9,18.2,10.2,0.4331,0.0316,0.209,
Deanza,O,5/17/18,Q2,Unknown mussel,10,10.2,7.4,0.213,0.0083,0.1435,
Deanza,O,5/17/18,Q2,Musculista,21,14.1,7.9,0.2104,0.008,0.1331,
Deanza,O,5/17/18,Q2,Musculista,22,13.8,7.9,0.1474,0.009,0.0794,
Deanza,O,5/17/18,Q2,Musculista,23,14.4,8.4,0.157,0.0099,0.0983,
Deanza,O,5/17/18,Q2,Musculista,24,13.3,8.1,0.1675,0.0099,0.0914,
Deanza,O,5/17/18,Q2,Musculista,25,15.5,8.3,0.1897,0.0123,0.1046,
Deanza,O,5/17/18,Q2,Musculista,26,11.6,6.8,0.1612,0.0091,0.0498,
Deanza,O,5/17/18,Q2,Musculista,27,12.6,6.2,0.0131,-0.0651,0.0445,
Deanza,O,5/17/18,Q2,Musculista,28,15.1,8.3,0.2124,0.0133,0.1168,
Deanza,O,5/17/18,Q2,Musculista,29,12.1,6.3,0.0793,0.0061,0.0489,
Deanza,O,5/17/18,Q2,Musculista,30,11.4,6.1,0.0676,0.003,0.0441,
Deanza,O,5/17/18,Q2,Musculista,31,14.8,8.4,0.1453,0.0143,0.0683,
Deanza,O,5/17/18,Q2,Musculista,32,12.7,6.5,0.1118,0.0087,0.0613,
Deanza,O,5/17/18,Q2,Musculista,33,14.8,8.1,0.1725,0.0135,0.08,
Deanza,O,5/17/18,Q2,Musculista,34,9.3,6.6,0.063,0.0037,0.0368,
Deanza,O,5/17/18,Q2,Musculista,35,16.1,8.3,0.2873,0.0217,0.1324,
Deanza,O,5/17/18,Q2,Musculista,36,11.3,7.7,0.0688,0.0042,0.0418,
Deanza,O,5/17/18,Q2,Musculista,37,11.1,6.2,0.0861,0.0036,0.059,
Deanza,O,5/17/18,Q2,Musculista,38,12.3,7.9,0.0935,0.0064,0.0602,
Deanza,O,5/17/18,Q2,Musculista,39,11.2,7.6,0.0762,0.0041,0.0523,
Deanza,O,5/17/18,Q2,Musculista,40,13.1,6.4,0.1234,0.0103,0.0612,
Deanza,O,5/17/18,Q2,Musculista,41,11.4,7.7,0.1187,0.0085,0.0672,
Deanza,O,5/17/18,Q2,Musculista,42,10.3,7.8,0.099,0.0108,0.0513,
Deanza,O,5/17/18,Q2,Musculista,43,10.5,6.7,0.0751,0.0051,0.043,
Deanza,O,5/17/18,Q2,Musculista,44,9.3,6.5,0.0658,0.0035,0.0364,
Deanza,O,5/17/18,Q2,Musculista,45,9.4,5.5,0.0494,0.0035,0.029,
Deanza,O,5/17/18,Q2,Musculista,46,9.1,5.5,0.0405,0.0029,0.0254,
Deanza,O,5/17/18,Q2,Musculista,47,9.7,5.2,0.0374,0.0026,0.0206,Removed sludge from shell after total CI measurement
Deanza,O,5/17/18,Q2,Musculista,48,9.7,5.5,0.0449,0.004,0.0262,
Deanza,O,5/17/18,Q2,Musculista,49,8.2,5.6,0.0325,0.0017,0.0222,CI #'s kept coming out off/weird
Deanza,O,5/17/18,Q2,O. lurida,51,26.5,26,1.1808,0.0466,0.8634,
Deanza,O,5/17/18,Q2,O. lurida,52,29.9,24.6,2.0576,0.072,1.4746,
Deanza,O,5/17/18,Q2,O. lurida,53,40.3,27.9,6.1273,0.2909,4.3191,
Deanza,O,5/17/18,Q2,O. lurida,54,24,17.5,0.8406,0.0285,0.6423,
Deanza,O,5/17/18,Q2,O. lurida,55,27.5,31.9,1.8369,0.053,1.4035,
Deanza,O,5/17/18,Q2,O. lurida,56,22.6,21.8,0.9962,0.0431,0.7001,
Deanza,O,5/17/18,Q2,O. lurida,57,30.8,17.5,1.4433,0.0552,1.0488,
Deanza,O,5/17/18,Q2,O. lurida,58,18.9,13.8,0.4446,0.0088,0.3923,
Deanza,O,5/17/18,Q2,O. lurida,59,33.2,22,1.8042,0.0903,1.321,
Deanza,O,5/17/18,Q3,Adula,1,18.9,8.5,0.331,0.0147,0.176,
Deanza,O,5/17/18,Q3,Adula,2,17.2,9.6,0.3515,0.0193,0.1527,
Deanza,O,5/17/18,Q3,Adula,3,18.8,9.5,0.4384,0.0238,0.2107,
Deanza,O,5/17/18,Q3,Adula,4,23.7,11.2,0.8585,0.0689,0.3416,
Deanza,O,5/17/18,Q3,Adula,5,19.1,9.2,0.4902,0.0369,0.2142,
Deanza,O,5/17/18,Q3,Adula,6,21.7,10.3,0.5058,0.0359,0.1983,
Deanza,O,5/17/18,Q3,Adula,7,15.5,8.1,0.2823,0.0168,0.1143,
Deanza,O,5/17/18,Q3,Adula,8,18.5,9.4,0.3805,0.0133,0.1611,
Deanza,O,5/17/18,Q3,Adula,9,18.7,9.6,0.4476,0.0258,0.1933,
Deanza,O,5/17/18,Q3,Adula,10,11.4,6.1,0.094,0.0041,0.0434,
Deanza,O,5/17/18,Q3,Adula,11,21.1,10.2,0.6092,0.0326,0.2919,
Deanza,O,5/17/18,Q3,Adula,12,21.8,10.1,0.4955,0.0299,0.2245,
Deanza,O,5/17/18,Q3,Adula,13,16.8,8.1,0.2341,0.0141,0.1173,
Deanza,O,5/17/18,Q3,Mytilus,1,25.7,14.1,0.9314,0.0371,0.5422,
Deanza,O,5/17/18,Q3,Mytilus,2,30.6,20.6,1.7005,0.0602,1.0408,
Deanza,O,5/17/18,Q3,Mytilus,3,27.3,17.1,1.0883,0.0488,0.6306,
Deanza,O,5/17/18,Q3,C. spinosum,1,13.2,11.1,0.2407,0.0198,0.1137,
Deanza,O,5/17/18,Q3,C. spinosum,2,12.3,11.3,0.2381,0.0154,0.1177,
Deanza,O,5/17/18,Q3,C. spinosum,3,15,12.6,0.2645,0.0201,0.1313,
Deanza,O,5/17/18,Q3,C. spinosum,4,13.8,11.4,0.2472,0.0202,0.1409,
Deanza,O,5/17/18,Q3,C. spinosum,5,15.2,13.1,0.2994,0.0177,0.1456,
Deanza,O,5/17/18,Q3,C. spinosum,6,9.3,8,0.0824,0.0055,0.0434,
Deanza,O,5/17/18,Q3,Musculista,1,21.1,10.7,0.7227,-0.2193,0.0872,
Deanza,O,5/17/18,Q3,Musculista,2,17.6,10.2,0.6251,0.0566,0.2495,
Deanza,O,5/17/18,Q3,Musculista,3,17.3,10.9,0.5523,0.0545,0.1974,
Deanza,O,5/17/18,Q3,Musculista,4,17.2,9.1,0.4038,0.0328,0.1602,
Deanza,O,5/17/18,Q3,Musculista,5,9.9,8.3,0.1724,0.0107,0.2502,
Deanza,O,5/17/18,Q3,Musculista,6,18.4,10.2,0.3217,0.0226,0.152,
Deanza,O,5/17/18,Q3,Musculista,7,18.5,10.1,0.4479,0.0303,0.1785,
Deanza,O,5/17/18,Q3,Musculista,8,18.8,9.7,0.2975,0.0189,0.1463,
Deanza,O,5/17/18,Q3,Musculista,9,13.3,7.5,0.1689,0.0139,0.0748,
Deanza,O,5/17/18,Q3,Musculista,10,18,9.3,0.4048,0.0364,0.1622,
Deanza,O,5/17/18,Q3,Musculista,11,15.1,8.2,0.1725,0.0113,0.0926,
Deanza,O,5/17/18,Q3,Musculista,12,16.4,8.5,0.3061,0.0262,0.105,
Deanza,O,5/17/18,Q3,Musculista,13,15.1,7.2,0.1819,0.0112,0.0705,
Deanza,O,5/17/18,Q3,Musculista,14,11.6,8.8,0.2671,0.016,0.1109,
Deanza,O,5/17/18,Q3,Musculista,15,17.2,9.1,0.3846,0.0298,0.1637,
Deanza,O,5/17/18,Q3,Musculista,16,14.2,7.6,0.1488,0.0096,0.0774,Shell was cracked upon measuring length/width
Deanza,O,5/17/18,Q3,Musculista,17,15.9,8,0.1879,0.0157,0.0757,
Deanza,O,5/17/18,Q3,Musculista,18,14,7.7,0.2259,0.0136,0.0866,
Deanza,O,5/17/18,Q3,Musculista,19,18.9,9,0.4615,0.0371,0.1762,
Deanza,O,5/17/18,Q3,Musculista,20,13.1,7.2,0.2125,0.0181,0.0977,
Deanza,O,5/17/18,Q3,Musculista,21,12.4,7.3,0.1741,0.0129,0.0729,
Deanza,O,5/17/18,Q5,Mytilus,1,17.7,10.4,0.28,-0.0015,0.1889,
Deanza,O,5/17/18,Q5,Mytilus,2,31.7,17.7,1.5439,0.0354,0.9136,
Deanza,O,5/17/18,Q5,Mytilus,3,38.8,22.4,3.1071,0.1184,1.8026,
Deanza,O,5/17/18,Q5,Mytilus,4,21.1,13.2,0.5995,0.0125,0.3901,
Deanza,O,5/17/18,Q5,Mytilus,5,21.6,13.8,0.5584,0.0132,0.3284,
Deanza,O,5/17/18,Q5,C. Spinosum,6,11,9.2,0.1941,0.0091,0.1038,
Deanza,O,5/17/18,Q5,C. Spinosum,7,15.3,12.4,0.2747,0.016,0.136,
Deanza,O,5/17/18,Q5,C. Spinosum,8,16.2,13.2,0.4336,0.0238,0.205,
Deanza,O,5/17/18,Q5,C. Spinosum,9,17.4,14.3,0.6256,0.0325,0.3045,
Deanza,O,5/17/18,Q5,C. Spinosum,10,8.3,7.7,0.075,0.004,0.0412,
Deanza,O,5/17/18,Q5,C. Spinosum,11,19.1,16.4,0.5752,0.0347,0.3088,
Deanza,O,5/17/18,Q5,C. Spinosum,12,15.1,13,0.4122,0.0243,0.2164,
Deanza,O,5/17/18,Q5,C. Spinosum,13,18.1,15.1,0.585,0.0327,0.2594,
Deanza,O,5/17/18,Q5,C. Spinosum,14,16.2,14.9,0.6148,0.0308,0.3094,
Deanza,O,5/17/18,Q5,C. Spinosum,15,8.7,7,0.0783,0.004,0.0466,"*, funky #'s"
Deanza,O,5/17/18,Q5,C. Spinosum,16,17.4,15.2,0.5977,0.0293,0.3087,
Deanza,O,5/17/18,Q5,C. Spinosum,17,15.3,13.2,0.3678,0.023,0.268,
Deanza,O,5/17/18,Q5,C. Spinosum,18,13.9,11.1,0.2343,0.0135,0.1093,
Deanza,O,5/17/18,Q5,C. Spinosum,19,8.5,8,0.0955,0.005,0.0547,
Deanza,O,5/17/18,Q5,C. Spinosum,20,8.6,8.4,0.0841,0.0525,-0.0057,
Deanza,O,5/17/18,Q5,C. Spinosum,21,12.3,7.2,0.0861,0.0039,0.0493,
Deanza,O,5/17/18,Q5,C. Spinosum,22,14,12,0.2445,0.0136,0.1222,
Deanza,O,5/17/18,Q5,C. Spinosum,23,11.8,9.5,0.1499,0.008,0.0701,
Deanza,O,5/17/18,Q5,C. Spinosum,24,8.6,8,0.0885,0.0198,0.0447,Recorded weights twice for #24
Deanza,O,5/17/18,Q5,C. Spinosum,25,9.5,10.1,0.1378,0.0088,0.0586,
Deanza,O,5/17/18,Q5,C. Spinosum,26,11.5,12.1,0.1752,0.0106,0.076,
Deanza,O,5/17/18,Q5,C. Spinosum,27,7.1,8.1,0.0633,0.0042,0.0366,
Deanza,O,5/17/18,Q5,Adula,28,19.8,10.3,0.4769,0.0238,0.2446,
Deanza,O,5/17/18,Q5,Adula,29,16.3,8.8,0.2765,0.0076,0.1727,
Deanza,O,5/17/18,Q5,Adula,30,18.4,9.9,0.4838,0.0318,0.2118,
Deanza,O,5/17/18,Q5,Adula,31,13.8,6.7,0.1483,0.0066,0.0814,
Deanza,O,5/17/18,Q5,Adula,32,23,10.8,0.6189,0.023,0.3061,
Deanza,O,5/17/18,Q5,Adula,33,17.7,9.3,0.434,0.0199,0.2065,
Deanza,O,5/17/18,Q5,Adula,34,20.2,10.2,0.567,0.0294,0.2471,
Deanza,O,5/17/18,Q5,Adula,35,18.1,9.3,0.3946,0.0205,0.1958,
Deanza,O,5/17/18,Q5,Adula,36,15.8,8.4,0.2899,0.0133,0.1366,
Deanza,O,5/17/18,Q5,Adula,37,15.1,9.4,0.2774,0.009,0.1559,
Deanza,O,5/17/18,Q5,Adula,38,16.3,8.1,0.235,0.0076,0.1398,
Deanza,O,5/17/18,Q5,Adula,39,18.4,10.4,0.4053,0.0192,0.2062,
Deanza,O,5/17/18,Q5,Adula,40,18.3,11.2,0.2735,0.0111,0.1406,
Deanza,O,5/17/18,Q5,Adula,41,18.1,9.2,0.4817,0.0229,0.2199,
Deanza,O,5/17/18,Q5,Adula,42,11.1,9.5,0.3299,0.0126,0.161,
Deanza,O,5/17/18,Q5,Adula,43,11.7,6.8,0.0758,0.0018,0.0476,Fell in wax
Deanza,O,5/17/18,Q5,Adula,44,18.2,7.2,0.1668,0.0037,0.094,
Deanza,O,5/17/18,Q5,Adula,45,16.5,9.2,0.2902,0.0162,0.1612,
Deanza,O,5/17/18,Q5,Adula,46,14.4,8.3,0.2263,0.0082,0.1226,
Deanza,O,5/17/18,Q5,Adula,47,9.8,5.1,0.0392,0.0009,0.0261,
Deanza,O,5/17/18,Q5,Adula,48,14.6,8.9,0.2186,0.0076,0.1085,
Deanza,O,5/17/18,Q5,Adula,49,13.3,7.4,0.1898,0.0096,0.0799,
Deanza,O,5/17/18,Q5,Adula,50,11.6,6.2,0.1445,0.0053,0.0683,
Deanza,O,5/17/18,Q5,Adula,51,11.7,6.2,0.0748,0.0032,0.0464,
Deanza,O,5/17/18,Q5,Adula,52,10.3,6.1,0.0971,0.0021,0.0438,
Deanza,O,5/17/18,Q5,Adula,53,6.6,4.1,0.0275,0.0003,0.0154,
Deanza,O,5/17/18,Q5,Musculista,54,17.1,8.8,0.2142,0.1342,0.0137,
Deanza,O,5/17/18,Q5,Musculista,55,20.8,8.1,0.18,0.0175,0.1224,
Deanza,O,5/17/18,Q5,Musculista,56,14.9,7.2,0.11,0.0104,0.0735,
Deanza,O,5/17/18,Q5,Musculista,57,20.2,11.9,0.48,0.0291,0.2491,
Deanza,O,5/17/18,Q5,Musculista,58,19.5,10.1,0.2966,0.0134,0.1662,
Deanza,O,5/17/18,Q5,Musculista,59,18.1,10.2,0.2933,0.022,0.1586,
Deanza,O,5/17/18,Q5,Musculista,60,15.5,8.3,0.2196,0.0195,0.1182,
Deanza,O,5/17/18,Q5,Musculista,61,16.2,9.6,0.22,0.0196,0.1328,
Deanza,O,5/17/18,Q5,Musculista,62,18.3,9.4,0.35,0.029,0.1849,
Deanza,O,5/17/18,Q5,Musculista,63,14.7,8.9,0.2075,0.0135,0.1191,
Deanza,O,5/17/18,Q5,Musculista,64,14.4,8.7,0.15,0.0161,0.0882,
Deanza,O,5/17/18,Q5,Musculista,65,10.5,6.7,0.0608,0.0059,0.0458,
Deanza,O,5/17/18,Q5,Musculista,66,19.5,11.6,0.3967,0.0336,0.1848,
Deanza,O,5/17/18,Q5,Musculista,67,15.8,7.3,0.21,0.0192,0.1058,
Deanza,O,5/17/18,Q5,Musculista,68,17.6,9.2,0.2837,0.0128,0.1598,
Deanza,O,5/17/18,Q5,Musculista,69,15.1,8.3,0.2127,0.0148,0.1034,
Deanza,O,5/17/18,Q5,Musculista,70,14.2,7.3,0.1862,0.0204,0.0838,
Deanza,O,5/17/18,Q5,Musculista,71,22.6,12.7,0.59,0.0601,0.2526,
Deanza,O,5/17/18,Q5,Musculista,72,14.7,7.9,0.1451,0.007,0.0745,
Deanza,O,5/17/18,Q5,Musculista,73,14.3,7.7,0.1718,0.0146,0.0774,
Deanza,O,5/17/18,Q5,Musculista,74,16.4,9.1,0.2229,0.0157,0.1297,
Deanza,O,5/17/18,Q5,Musculista,75,17.7,9.5,0.329,0.0245,0.1604,
Deanza,O,5/17/18,Q5,Musculista,76,14.6,7.1,0.146,0.0092,0.0715,
Deanza,O,5/17/18,Q5,Musculista,77,17.1,8.3,0.2777,0.0206,0.1228,
Deanza,O,5/17/18,Q5,Musculista,78,18.3,9.3,0.4097,0.038,0.1937,
Deanza,O,5/17/18,Q5,Musculista,79,15.8,8.1,0.2818,0.0225,0.1347,
Deanza,O,5/17/18,Q5,Musculista,80,19.5,9.7,0.4305,0.0384,0.1937,
Deanza,O,5/17/18,Q5,Musculista,81,16.9,8.3,0.2024,0.0148,0.1054,
Deanza,O,5/17/18,Q5,Musculista,82,13.1,7.7,0.141,0.0123,0.0884,
Deanza,O,5/17/18,Q5,Musculista,83,20.5,10.2,0.56,0.0616,0.2553,
Deanza,O,5/17/18,Q5,Musculista,84,16.2,8.2,0.2369,0.0161,0.1226,
Deanza,O,5/17/18,Q5,Musculista,85,15,8.6,0.2079,0.0131,0.1151,
Deanza,O,5/17/18,Q5,Musculista,86,14,8.3,0.14,0.0192,0.0795,
Deanza,O,5/17/18,Q5,Musculista,87,16.1,9.5,0.2657,0.0183,0.1457,
Deanza,O,5/17/18,Q5,Musculista,88,15.7,8.1,0.13,0.0108,0.0966,
Deanza,O,5/17/18,Q5,Musculista,89,20.9,11.7,0.5781,0.058,-0.0227,
Deanza,O,5/17/18,Q5,Musculista,90,18.5,9.2,0.2682,0.0112,0.1564,
Deanza,O,5/17/18,Q5,Musculista,91,17.7,9.6,0.164,0.0079,0.1071,
Deanza,O,5/17/18,Q5,Musculista,92,18.3,9.5,0.2,0.0132,0.1521,
Deanza,O,5/17/18,Q5,Musculista,93,20.2,10.4,0.4572,0.0332,0.2309,
Deanza,O,5/17/18,Q5,Musculista,94,12.2,6.3,0.0882,0.0082,0.0437,
Deanza,O,5/17/18,Q5,Musculista,95,14.6,6.4,0.1524,0.0088,0.0789,
Deanza,O,5/17/18,Q5,Musculista,96,18.3,10.4,0.4,0.0309,0.2219,
Deanza,O,5/17/18,Q5,Musculista,97,15.1,18.9,0.2465,0.0202,0.1057,
Deanza,O,5/17/18,Q5,Musculista,98,13.4,8.2,0.1365,-0.0043,0.0703,
Deanza,O,5/17/18,Q5,Musculista,99,16.3,9.7,0.2806,0.0144,0.1661,
Deanza,O,5/17/18,Q5,Musculista,100,19.3,10,0.4108,-0.0016,0.2203,
Deanza,O,5/17/18,Q5,Musculista,101,12.9,7.4,0.1111,0.0056,0.0605,
Deanza,O,5/17/18,Q5,Musculista,102,11,6.3,0.1,0.0125,0.0729,
Deanza,O,5/17/18,Q5,Musculista,103,15.6,8.4,0.1909,0.0013,0.1075,
Deanza,O,5/17/18,Q5,Musculista,104,12.4,7.5,0.2061,0.0087,0.0547,
Deanza,O,5/17/18,Q5,Musculista,105,16.3,9.9,0.247,0.0189,0.1268,
Deanza,O,5/17/18,Q5,Musculista,106,16.2,9.7,0.2277,0.0115,0.1287,
Deanza,O,5/17/18,Q5,Musculista,107,14.3,7.3,0.1486,0.0111,0.0798,
Deanza,O,5/17/18,Q5,Musculista,108,12.5,7.3,0.1125,0.0085,0.0562,
Deanza,O,5/17/18,Q5,Musculista,109,19.9,9.5,0.3347,0.0217,0.1826,
Deanza,O,5/17/18,Q5,Musculista,110,19.4,11.6,0.3344,0.0195,0.2053,
Deanza,O,5/17/18,Q5,Musculista,111,10.4,6.4,0.0748,0.0054,0.0372,
Deanza,O,5/17/18,Q5,Musculista,112,17.3,9.4,0.3623,0.0263,0.1694,
Deanza,O,5/17/18,Q5,Musculista,113,14.4,8.5,0.2238,0.0225,0.0914,
Deanza,O,5/17/18,Q5,Musculista,114,15.1,8.7,0.2377,0.0082,0.098,
Deanza,O,5/17/18,Q5,Musculista,115,13.3,6.5,0.1158,0.0088,0.0581,
Deanza,O,5/17/18,Q5,Musculista,116,15.3,8.2,0.2071,0.0156,0.1182,
Deanza,O,5/17/18,Q5,Musculista,117,12.6,6.3,0.0783,0.0042,0.0458,
Deanza,O,5/17/18,Q5,Musculista,118,13.3,7.3,0.1082,0.0067,0.0595,
Deanza,O,5/17/18,Q5,Musculista,119,14.6,7.3,0.0767,-0.0063,0.0552,
Deanza,O,5/17/18,Q5,Musculista,120,12.1,6.4,0.0698,0.0027,0.0484,
Deanza,O,5/17/18,Q5,Musculista,121,13.1,7.9,0.1366,0.0073,0.056,
Deanza,O,5/17/18,Q5,Musculista,122,12.4,7.1,0.1231,0.0009,0.052,
Deanza,O,5/17/18,Q5,Musculista,123,16.2,9.5,0.2579,0.0085,0.131,
Deanza,O,5/17/18,Q5,Musculista,124,12.1,7.5,0.1375,0.0068,0.0838,
Deanza,O,5/17/18,Q5,Musculista,125,15.1,8.2,0.2289,0.0195,0.1085,
Deanza,O,5/17/18,Q5,Musculista,126,12.1,6.4,0.0803,0.0055,0.0468,
Deanza,O,5/17/18,Q5,Musculista,127,16.1,9.5,0.171,0.0048,0.1332,
Deanza,O,5/17/18,Q5,Musculista,128,17.2,9.8,0.3594,0.0313,0.1686,
Deanza,O,5/17/18,Q5,Musculista,129,12.2,6.3,0.0914,0.0085,0.0564,
